id,observed_on,url,image_url,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_family_name,taxon_genus_name
30803957,8/14/2019,https://www.inaturalist.org/observations/30803957,https://inaturalist-open-data.s3.amazonaws.com/photos/48147985/medium.jpeg,"Marayoor, Kerala 685620, India",10.27635031,77.16147579,22,,,,22,,open,FALSE,gps,gps,,,Kerala,India,Kerala,Idukki,Northern Red Muntjac,Muntiacus vaginalis,Northern Red Muntjac,Mammalia,74659,Animalia,Chordata,Cervidae,Muntiacus
30804049,8/11/2019,https://www.inaturalist.org/observations/30804049,https://inaturalist-open-data.s3.amazonaws.com/photos/48148164/medium.jpeg,"Keezhanthoor, Kerala 685620, India",10.31197793,77.20040336,1395,,,,1395,,open,FALSE,gps,gps,,,Kerala,India,Kerala,Idukki,Indian Giant Squirrel,Ratufa indica,Indian Giant Squirrel,Mammalia,46030,Animalia,Chordata,Sciuridae,Ratufa
31130251,8/19/2019,https://www.inaturalist.org/observations/31130251,https://inaturalist-open-data.s3.amazonaws.com/photos/48691543/medium.jpeg,"Thirumoorthy, Tamil Nadu, India",10.47892372,77.1692076,698,,,,698,,,FALSE,gps,gps,Udumalpet,,Tamil Nadu,India,Tamil Nadu,Tiruppur,Leschenault’s Lacerta,Ophisops leschenaultii,Leschenault’s Snake-eyed Lizard,Reptilia,35757,Animalia,Chordata,Lacertidae,Ophisops
31131359,8/19/2019,https://www.inaturalist.org/observations/31131359,https://inaturalist-open-data.s3.amazonaws.com/photos/48693744/medium.jpeg,"3-39, Valmiki Nagar, Kaveri Nagar, Lakshman Perumal Nagar, Chennai, Tamil Nadu 600041, India",12.97442619,80.26677157,3,,,,3,,,FALSE,,,,,Tamil Nadu,India,Tamil Nadu,Chennai,Horn-eyed Ghost Crab,Ocypode brevicornis,Horn-eyed Ghost Crab,Animalia,361850,Animalia,Arthropoda,Ocypodidae,Ocypode
31838533,8/31/2019,https://www.inaturalist.org/observations/31838533,https://inaturalist-open-data.s3.amazonaws.com/photos/49873714/medium.jpeg,"North Boothinatham, Tamil Nadu, India",10.5504055,77.22847748,,,,,,,,FALSE,gps,gps,Udumalpet,,Tamil Nadu,India,Tamil Nadu,Tiruppur,common lantana,Lantana camara,common lantana,Plantae,50333,Plantae,Tracheophyta,Verbenaceae,Lantana
32168453,1/25/2019,https://www.inaturalist.org/observations/32168453,https://inaturalist-open-data.s3.amazonaws.com/photos/50427701/medium.jpeg,"Kumily, Kerala, India",9.596955512,77.17306964,88,,,,88,,,FALSE,gps,gps,,,Kerala,India,Kerala,Idukki,Erebus hieroglyphica,Erebus hieroglyphica,Tropical Owl,Insecta,203994,Animalia,Arthropoda,Erebidae,Erebus
32168636,1/25/2019,https://www.inaturalist.org/observations/32168636,https://inaturalist-open-data.s3.amazonaws.com/photos/79262483/medium.jpeg,"Kumily, Kerala, India",9.597216673,77.17347566,175,,,,175,,open,FALSE,gps,gps,,,Kerala,India,Kerala,Idukki,Stream Ruby,Heliocypha bisignata,Stream Ruby,Insecta,561358,Animalia,Arthropoda,Chlorocyphidae,Heliocypha
32260154,9/7/2019,https://www.inaturalist.org/observations/32260154,https://inaturalist-open-data.s3.amazonaws.com/photos/50582811/medium.jpeg,"Kaietha Milleth Nagar, Pallikaranai, Chennai, Tamil Nadu 600100, India",12.94014645,80.21873474,,,,,,,open,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Kancheepuram,Dancing Dropwing,Trithemis pallidinervis,Long-legged Marsh Glider,Insecta,114490,Animalia,Arthropoda,Libellulidae,Trithemis
32260198,9/7/2019,https://www.inaturalist.org/observations/32260198,https://inaturalist-open-data.s3.amazonaws.com/photos/50582883/medium.jpeg,"Sirudavoor, Tamil Nadu, India",12.68617249,80.15072029,44,,,,44,,open,FALSE,gps,gps,,,Tamil Nadu,India,Tamil Nadu,Kancheepuram,Tiny Grass Blue,Zizula hylax,Tiny Grass Blue,Insecta,198828,Animalia,Arthropoda,Lycaenidae,Zizula
32682641,9/14/2019,https://www.inaturalist.org/observations/32682641,https://inaturalist-open-data.s3.amazonaws.com/photos/51279340/medium.jpeg,"Udumalpet, Tamil Nadu, India",10.5814087,77.2367432,3099,,,,3099,,,FALSE,,,Udumalpet,,Tamil Nadu,India,Tamil Nadu,Tiruppur,Dark Grass Blue,Zizeeria karsandra,Dark Grass Blue,Insecta,125512,Animalia,Arthropoda,Lycaenidae,Zizeeria
